Feature_Name,Score
TPSB2,10599.821609616281
TPSAB1,8712.84607732296
CPA3,8632.792508035584
PLVAP,7183.826560100622
TRAC,6967.42275375938
PECAM1,6467.002824647551
SDS,6206.921864973036
COL3A1,6203.591309956603
SYCN,6037.18903047404
SPARC,5968.526715398522
PLA2G7,5900.935521313245
TYROBP,5888.726842453695
C1QC,5868.683584928597
CRLF1,5802.606710945194
CPA2,5778.888769014496
PDGFRB,5672.598245742736
RGS1,5645.974636929378
COL6A3,5634.929364226506
FCER1G,5573.3042851436585
CCL3,5562.1255296275685
