Feature_Name,Score
COL18A1,0.43852870407060296
TACSTD2,0.3954523440833593
HADH,0.3913999121397391
IRX2,0.3860317610290753
MAFA,0.3831581672040709
MMP14,0.37951025019809537
PMEPA1,0.37822064849902626
KRT7,0.36823441523003586
ARX,0.36363557359928
PCSK1,0.36159494906223033
SERPING1,0.3546107875519171
FLNA,0.35303646228918106
GC,0.3475647568600615
C1QL1,0.34591576991862194
IFITM3,0.34583841941397253
FXYD3,0.33585662673722494
KRT19,0.3328467661179668
SDC4,0.33087331158320055
ENG,0.3308594458179317
SOX4,0.32603330815081666
